"URL","Performance","Accesibilidad","Best Practices","SEO","Promedio","FCP","LCP","TBT","CLS","Speed Index","TTI","Title","Title (largo)","Description","Desc (largo)","H1","Canonical","Palabras","Problemas SEO"
"https://www.zoomforth.com/product-microsite","40","95","89","85","77","2.7 s","13.4 s","1,490 ms","0","5.7 s","13.4 s","Product and branded microsites for sales and pursuits teams","59","Showcase your products and services on beautiful, branded product microsites. Create quick and easy brochure sites with powerful audience engagement data.","154","Build dynamic product microsites that captivate and convert","https://www.zoomforth.com/product-microsite","1252",""
"https://www.zoomforth.com/inspiration","41","95","89","85","78","2.8 s","9.7 s","1,440 ms","0","5.6 s","12.3 s","Microsite Examples","18","Need inspiration for your landing page or microsite? Zoomforth’s gallery is filled with exciting ideas you can easily adapt for your audience’s needs. Start creating today.","172","Microsite Examples","https://www.zoomforth.com/inspiration","2425","Título muy corto (18 chars, mínimo 30) | Meta description muy larga (172 chars, máximo 160)"
"https://www.zoomforth.com/academy","47","96","71","85","75","2.9 s","6.3 s","1,310 ms","0","4.0 s","11.2 s","Zoomforth Academy","17","We","2","Welcome to the Zoomforth Academy","https://www.zoomforth.com/academy","516","Título muy corto (17 chars, mínimo 30) | Meta description corta (2 chars, mínimo 70)"
"https://www.zoomforth.com/blog","54","95","93","54","74","2.7 s","55.8 s","500 ms","0","5.5 s","55.9 s","Blog for microsites and content","31","Information you can actually use, from Zoomforth, to you. Learn, be inspired, and gain valuable insights to get ahead with regular contributions from our team of experts.","170","","https://www.zoomforth.com/blog/","383","Meta description muy larga (170 chars, máximo 160) | Sin H1 | Robots: noindex,follow"
"https://www.zoomforth.com/case-studies","37","95","89","85","76","2.6 s","10.7 s","1,150 ms","0.164","5.0 s","10.9 s","Case studies","12","See how microsites have helped our clients improve their impact, increase engagement, and win more business.","108","Case studies","https://www.zoomforth.com/case-studies","523","Título muy corto (12 chars, mínimo 30)"
"https://www.zoomforth.com/events","48","95","89","85","79","2.7 s","11.8 s","740 ms","0","5.7 s","11.9 s","Events & Workshops","18","Register here for free microsite design seminars and skills workshops. Hear about new features and learn tips and tricks, to take your microsite designs to the next level.","171","Events & Workshops","https://www.zoomforth.com/events","449","Título muy corto (18 chars, mínimo 30) | Meta description muy larga (171 chars, máximo 160)"
"https://www.zoomforth.com/faq","46","95","93","85","80","2.5 s","9.6 s","1,060 ms","0","4.6 s","9.8 s","Frequently Asked Questions","26","Have questions? We’re here to help.","35","Frequently asked questions","https://www.zoomforth.com/faq","2499","Título muy corto (26 chars, mínimo 30) | Meta description corta (35 chars, mínimo 70)"
"https://www.zoomforth.com/whitepapers","41","95","89","85","78","2.5 s","11.3 s","1,420 ms","0","6.0 s","11.4 s","Zoomforth whitepapers","21","Help yourself to our free resources to learn more about no code / low code microsites, content experiences, digital design and more.","132","Zoomforth whitepapers","https://www.zoomforth.com/whitepapers","486","Título muy corto (21 chars, mínimo 30)"
"https://www.zoomforth.com/design-services","40","95","89","85","77","2.5 s","18.1 s","1,560 ms","0","5.9 s","18.6 s","Content Experience Platform & Microsite Builder","47","Engage audiences, win sales, and stand out with the Zoomforth microsite builder. Create secure, branded microsites quickly and at scale.","136","The Zoomforth Design Agency","https://www.zoomforth.com/design-agency","1033","Canonical apunta a URL diferente: https://www.zoomforth.com/design-agency"

"=== LINKS ROTOS ==="
"URL","Estado HTTP","Encontrado en"
"https://www.zoomforth.com/assets/img/icon-180x180.png","404","https://www.zoomforth.com"
"https://www.zoomforth.com/assets/img/icon-32x32.png","404","https://www.zoomforth.com"
"https://www.zoomforth.com/assets/img/icon-16x16.png","404","https://www.zoomforth.com"

